ref,deadline,category,reward,teamCount,userHasEntered
https://www.kaggle.com/competitions/ml2020spring-hw4,2020-04-30 15:59:00,Community,Kudos,216,False
https://www.kaggle.com/competitions/dm-2024-isa-5810-lab-2-homework,2024-12-04 16:00:00,Community,Kudos,147,False
https://www.kaggle.com/competitions/p3-cs4740-2020fa,2020-11-20 23:59:00,Community,Kudos,118,False
https://www.kaggle.com/competitions/dm2022-isa5810-lab2-homework,2022-11-25 15:59:00,Community,Kudos,100,False
https://www.kaggle.com/competitions/dm2021-lab2-hw2,2022-01-07 23:59:00,Community,Kudos,95,False
https://www.kaggle.com/competitions/homework-emotion-classification,2023-02-27 23:59:00,Community,Kudos,83,False
https://www.kaggle.com/competitions/dm2020-hw2-nthu,2020-12-08 23:59:00,Community,Kudos,69,False
https://www.kaggle.com/competitions/cs985-987-emotion-recognition-project-2024,2024-04-15 22:59:00,Community,Kudos,63,False
https://www.kaggle.com/competitions/tweet-emotion-detection,2020-06-01 23:59:00,Community,Kudos,57,False
https://www.kaggle.com/competitions/cs985-987-Emotion-Recognition-Project,2023-04-16 23:59:00,Community,Kudos,54,False
https://www.kaggle.com/competitions/cats-cute-emotions,2026-03-15 09:00:00,Community,Kudos,52,False
https://www.kaggle.com/competitions/tweet-emotion-detection-private,2020-06-01 23:59:00,Community,Kudos,49,False
https://www.kaggle.com/competitions/introdl-2023-2024-tiu-voice-emotion,2024-05-30 22:55:00,Community,Kudos,46,False
https://www.kaggle.com/competitions/datamininglab2,2018-12-02 15:00:00,Community,Kudos,40,False
https://www.kaggle.com/competitions/dm19-lab2-nthu,2019-11-30 23:59:00,Community,Kudos,40,False
https://www.kaggle.com/competitions/dm19-lab2-kaggle-competition-2,2019-12-22 23:59:00,Community,Kudos,36,False
https://www.kaggle.com/competitions/aia-hands-on-bert,2022-10-02 23:59:00,Community,Kudos,34,False
https://www.kaggle.com/competitions/emotion-recognition-from-human-faces,2023-10-24 21:10:00,Community,Kudos,32,False
https://www.kaggle.com/competitions/facial-emotion-classification,2024-05-28 15:59:00,Community,Kudos,31,False
https://www.kaggle.com/competitions/emotional-analysis-of-film-criticism,2024-06-27 15:10:00,Community,Kudos,29,False
