ref,deadline,category,reward,teamCount,userHasEntered
https://www.kaggle.com/competitions/byu-locating-bacterial-flagellar-motors-2025,2025-06-04 23:59:00,Research,"65,000 Usd",1136,False
https://www.kaggle.com/competitions/czii-cryo-et-object-identification,2025-02-05 23:59:00,Featured,"75,000 Usd",931,False
https://www.kaggle.com/competitions/open-images-2019-object-detection,2019-10-01 23:59:00,Research,"25,000 Usd",558,False
https://www.kaggle.com/competitions/3d-object-detection-for-autonomous-vehicles,2019-11-12 23:59:00,Featured,"25,000 Usd",546,False
https://www.kaggle.com/competitions/taica-cvpdl-2025-hw-1,2025-10-10 15:59:00,Community,Kudos,507,False
https://www.kaggle.com/competitions/google-ai-open-images-object-detection-track,2018-08-30 23:59:00,Featured,"30,000 Usd",452,False
https://www.kaggle.com/competitions/fit-5215-object-detection-s-2-2025,2025-09-21 13:55:00,Community,Kudos,380,False
https://www.kaggle.com/competitions/fit-5215-object-detection-s-2-2024,2024-09-20 13:59:00,Community,Kudos,226,False
https://www.kaggle.com/competitions/fit-3181-object-detection-s02-2025,2025-09-28 13:55:00,Community,Kudos,215,False
https://www.kaggle.com/competitions/cs-444-sp-26-mp-4-a-yolo-object-detection,2026-04-26 04:59:00,Community,Kudos,207,False
