ref,deadline,category,reward,teamCount,userHasEntered
https://www.kaggle.com/competitions/otto-recommender-system,2023-01-31 23:59:00,Featured,"30,000 Usd",2574,False
https://www.kaggle.com/competitions/byu-locating-bacterial-flagellar-motors-2025,2025-06-04 23:59:00,Research,"65,000 Usd",1136,False
https://www.kaggle.com/competitions/czii-cryo-et-object-identification,2025-02-05 23:59:00,Featured,"75,000 Usd",931,False
https://www.kaggle.com/competitions/open-images-2019-object-detection,2019-10-01 23:59:00,Research,"25,000 Usd",558,False
https://www.kaggle.com/competitions/3d-object-detection-for-autonomous-vehicles,2019-11-12 23:59:00,Featured,"25,000 Usd",546,False
https://www.kaggle.com/competitions/taica-cvpdl-2025-hw-1,2025-10-10 15:59:00,Community,Kudos,507,False
https://www.kaggle.com/competitions/google-ai-open-images-object-detection-track,2018-08-30 23:59:00,Featured,"30,000 Usd",452,False
https://www.kaggle.com/competitions/fit-5215-object-detection-s-2-2025,2025-09-21 13:55:00,Community,Kudos,380,False
https://www.kaggle.com/competitions/cifar-10,2014-10-18 23:59:00,Playground,Knowledge,231,False
https://www.kaggle.com/competitions/fit-5215-object-detection-s-2-2024,2024-09-20 13:59:00,Community,Kudos,226,False
https://www.kaggle.com/competitions/10-601-fall-2014-project-object-recognition,2014-12-10 23:59:00,Community,Knowledge,123,False
https://www.kaggle.com/competitions/cs-444-assignment-3-part-2,2022-04-12 23:59:00,Community,Kudos,123,False
https://www.kaggle.com/competitions/synthetic-2-real-object-detection-challenge,2025-04-12 17:00:00,Community,350 Usd,115,False
https://www.kaggle.com/competitions/fit-3181-malaysia-object-detection-s-2-2024,2024-09-20 13:55:00,Community,Kudos,112,False
https://www.kaggle.com/competitions/multi-instance-object-detection-challenge,2025-07-11 23:00:00,Community,350 Usd,111,False
https://www.kaggle.com/competitions/cs-498-dl-assignment-3-part-2,2021-04-16 23:59:00,Community,Kudos,105,False
https://www.kaggle.com/competitions/synthetic-2-real-object-detection-challenge-2,2025-05-26 22:00:00,Community,350 Usd,102,False
https://www.kaggle.com/competitions/fathomnet-2026,2026-05-08 06:59:00,Community,Kudos,102,False
https://www.kaggle.com/competitions/odin-mj,2025-06-07 04:00:00,Community,Kudos,100,False
